Temp,Alpha
80.01,1.63E-07
80.03,8.71E-07
80.05,1.99E-06
80.06,3.38E-06
80.08,4.90E-06
80.1,6.66E-06
80.11,8.99E-06
80.13,1.20E-05
80.15,1.56E-05
80.16,2.01E-05
80.18,2.55E-05
80.2,3.20E-05
80.21,3.94E-05
80.23,4.73E-05
80.24,5.51E-05
80.26,6.24E-05
80.28,6.94E-05
80.29,7.62E-05
80.31,8.27E-05
80.33,8.89E-05
80.34,9.50E-05
80.36,1.01E-04
80.38,1.08E-04
80.39,1.15E-04
80.41,1.23E-04
80.43,1.31E-04
80.44,1.40E-04
80.46,1.48E-04
80.48,1.56E-04
80.49,1.64E-04
80.51,1.72E-04
80.53,1.80E-04
80.55,1.89E-04
80.56,1.98E-04
80.58,2.09E-04
80.59,2.20E-04
80.61,2.32E-04
80.63,2.45E-04
80.65,2.58E-04
80.66,2.72E-04
80.68,2.86E-04
80.69,3.00E-04
80.71,3.14E-04
80.73,3.29E-04
80.74,3.43E-04
80.76,3.58E-04
80.78,3.73E-04
80.79,3.87E-04
80.81,4.02E-04
80.83,4.18E-04
80.84,4.34E-04
80.86,4.51E-04
80.88,4.68E-04
80.89,4.86E-04
80.91,5.05E-04
80.93,5.23E-04
80.95,5.43E-04
80.96,5.62E-04
80.98,5.82E-04
81,6.03E-04
81.01,6.24E-04
81.03,6.45E-04
81.04,6.67E-04
81.06,6.90E-04
81.08,7.12E-04
81.1,7.35E-04
81.11,7.58E-04
81.13,7.80E-04
81.15,8.02E-04
81.16,8.24E-04
81.18,8.46E-04
81.2,8.69E-04
81.21,8.92E-04
81.23,9.17E-04
81.25,9.42E-04
81.26,9.67E-04
81.28,9.92E-04
81.3,1.02E-03
81.31,1.04E-03
81.33,1.07E-03
81.35,1.09E-03
81.36,1.12E-03
81.38,1.14E-03
81.4,1.17E-03
81.41,1.20E-03
81.43,1.23E-03
81.45,1.26E-03
81.46,1.29E-03
81.48,1.32E-03
81.5,1.35E-03
81.51,1.38E-03
81.53,1.41E-03
81.55,1.44E-03
81.56,1.47E-03
81.58,1.51E-03
81.6,1.54E-03
81.61,1.57E-03
81.63,1.61E-03
81.65,1.64E-03
81.66,1.68E-03
81.68,1.72E-03
81.7,1.75E-03
81.71,1.79E-03
81.73,1.83E-03
81.75,1.86E-03
81.76,1.90E-03
81.78,1.94E-03
81.8,1.98E-03
81.81,2.01E-03
81.83,2.05E-03
81.85,2.09E-03
81.86,2.13E-03
81.88,2.18E-03
81.9,2.22E-03
81.91,2.26E-03
81.93,2.31E-03
81.95,2.36E-03
81.96,2.41E-03
81.98,2.45E-03
82,2.50E-03
82.01,2.55E-03
82.03,2.60E-03
82.05,2.65E-03
82.06,2.70E-03
82.08,2.75E-03
82.1,2.80E-03
82.11,2.85E-03
82.13,2.90E-03
82.15,2.95E-03
82.16,3.00E-03
82.18,3.05E-03
82.2,3.10E-03
82.21,3.15E-03
82.23,3.20E-03
82.25,3.25E-03
82.26,3.30E-03
82.28,3.35E-03
82.3,3.40E-03
82.31,3.45E-03
82.33,3.50E-03
82.35,3.55E-03
82.36,3.61E-03
82.38,3.66E-03
82.4,3.71E-03
82.41,3.76E-03
82.43,3.81E-03
82.45,3.86E-03
82.46,3.91E-03
82.48,3.96E-03
82.5,4.01E-03
82.51,4.06E-03
82.53,4.12E-03
82.55,4.17E-03
82.56,4.23E-03
82.58,4.28E-03
82.6,4.34E-03
82.61,4.40E-03
82.63,4.45E-03
